id,sex,age,year_study,pretest,posttest,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_8,pre_9,pre_10,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_17,pre_18,pre_19,pre_20,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_27,pre_28,pre_29,post_1,post_2,post_3,post_4,post_5,post_6,post_7,post_8,post_9,post_10,post_11,post_12,post_13,post_14,post_15,post_16,post_17,post_18,post_19,post_20,post_21,post_22,post_23,post_24,post_25,post_26,post_27,post_28,post_29
1,female,20,1,yes,yes,4,3,3,2,3,2,3,3,2,3,3,4,4,3,2,2,3,4,3,4,4,2,4,2,4,2,2,4,2,5,4,3,2,4,4,3,2,2,2,3,1,4,4,3,2,4,5,2,4,4,1,1,3,3,2,3,2,4
2,male,18,1,yes,yes,3,4,4,2,5,4,2,3,3,2,3,1,3,4,5,4,2,NA,3,3,4,2,2,5,5,NA,2,2,3,4,5,3,3,5,5,1,5,4,1,5,1,3,4,1,5,5,4,5,3,5,1,4,5,5,5,2,1,2
3,male,24,4,yes,yes,5,5,3,1,4,2,2,2,2,4,3,4,3,4,1,2,3,4,2,3,5,3,4,4,4,2,2,2,3,5,5,5,4,2,1,3,2,1,1,1,4,4,1,2,1,1,4,4,4,5,1,5,1,1,2,1,4,1
4,male,22,4,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,1,3,1,4,2,4,2,4,2,4,2,1,1,1,5,3,3,4,1,3,5,2,3,4,4,4
5,female,21,2,yes,yes,4,5,4,1,NA,1,1,2,4,2,NA,4,NA,4,4,1,4,4,NA,NA,4,4,5,1,4,NA,3,1,5,5,5,1,1,3,5,2,NA,5,1,3,4,NA,2,1,1,1,5,NA,NA,5,5,4,4,4,5,5,4,1
6,female,21,3,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,1,3,4,4,3,4,1,1,2,4,4,4,2,5,4,4,4,5,1,5,2,4,3,2,2,5
7,female,23,3,yes,yes,5,5,3,2,4,4,3,4,4,4,2,2,3,2,4,2,4,4,2,3,4,4,3,4,2,3,2,2,4,5,5,4,2,2,4,4,3,4,4,2,NA,3,2,5,2,4,4,3,3,4,2,4,4,3,2,4,NA,4
8,male,22,3,yes,yes,5,5,4,2,3,4,3,3,4,3,4,4,3,1,4,4,4,3,4,4,3,4,3,4,2,3,4,4,4,5,5,5,4,2,2,4,3,2,4,3,4,4,4,2,4,3,2,3,3,4,4,3,4,2,2,3,4,2
9,female,23,3,yes,yes,5,1,3,2,NA,4,2,NA,NA,4,3,4,2,2,3,2,NA,3,NA,NA,4,NA,3,4,5,NA,3,2,NA,5,5,3,1,4,1,1,4,1,5,5,3,4,1,5,1,2,4,3,3,5,2,5,5,5,2,3,2,1
10,female,20,3,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,4,3,2,4,4,3,3,5,4,3,2,3,4,4,3,4,4,2,4,4,3,2,3,4,4
11,female,19,3,yes,yes,4,5,3,1,4,5,5,2,NA,4,4,1,3,1,4,1,4,5,2,3,2,2,4,4,4,2,3,2,4,4,5,3,3,1,1,5,1,1,4,1,1,4,1,1,1,1,5,1,3,3,1,3,4,3,3,3,2,5
12,male,20,3,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,1,1,3,4,5,2,1,1,1,3,4,3,3,3,2,4,3,5,1,5,3,2,2,3,1,3
13,female,18,2,yes,yes,3,4,4,3,1,4,5,4,2,1,5,2,NA,3,4,3,NA,3,2,NA,3,4,4,4,4,NA,1,2,5,3,5,4,2,4,3,5,2,1,1,3,1,3,2,1,4,1,4,1,4,5,1,4,5,4,NA,2,4,5
14,male,23,5,yes,no,5,5,3,1,5,5,3,5,3,1,5,5,3,5,3,3,3,5,3,3,5,3,4,4,1,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,female,20,1,yes,no,4,5,3,1,5,2,1,4,3,4,4,3,4,3,4,1,3,4,3,4,5,4,3,4,4,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,male,28,1,yes,no,5,4,3,1,4,5,4,4,4,4,3,4,3,5,5,3,NA,4,NA,NA,3,3,5,4,4,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,male,26,4,yes,no,4,4,3,2,4,4,5,3,3,2,4,2,3,2,1,2,3,4,2,3,4,4,4,4,4,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
